Country,Gen (TWh)
World,2711.9
China,1135.43
United States,464.39
Germany,136.03
Brazil,117.58
India,103.98
United Kingdom,85.84
Spain,58.76
Canada,51.48
France,46.46
Turkey,39.42
Australia,39.29
Sweden,38.9
Netherlands,33.7
Poland,23.98
Finland,22.58
Italy,21.48
Mexico,21.38
Denmark,20.28
Argentina,18.62
Vietnam,14.37
Portugal,13.68
Norway,13.58
Belgium,13.39
Japan,12.85
Greece,12.08
Taiwan,12
Ireland,11.76
Chile,11.58
South Africa,11.32
Egypt,9.3
Austria,8.31
Morocco,6.74
Romania,5.97
Kazakhstan,5.83
Uruguay,4.85
Pakistan,4.46
New Zealand,4.22
Uzbekistan,4
Lithuania,3.98
Russia,3.64
South Korea,3.64
Thailand,3.41
Croatia,3.14
Kenya,2.3
Peru,2.11
Kuwait,1.86
Jordan (2024),1.75
Saudi Arabia (2024),1.59
Costa Rica,1.55
Serbia,1.47
Philippines,1.46
Dominican Republic,1.42
Bulgaria,1.32
Iran,1.25
Estonia,1.15
Ethiopia,1.1
Panama (2024),0.96
Sri Lanka,0.93
Honduras (2024),0.75
Hungary,0.6
Czech Republic,0.57
Nicaragua (2024),0.56
Mongolia,0.54
Indonesia (2024),0.47
Luxembourg,0.47
Israel,0.46
Belarus,0.41
Senegal (2024),0.41
Kosovo,0.39
Bosnia and Herzegovina,0.37
Guatemala (2024),0.37
Tunisia,0.33
North Macedonia,0.3
Jamaica (2024),0.29
Bolivia,0.28
Montenegro,0.28
Latvia,0.23
Moldova,0.23
Puerto Rico,0.23
Cyprus,0.21
El Salvador,0.2
United Arab Emirates (2024),0.2
Ecuador,0.19
Colombia,0.15
Aruba (2024),0.14
Switzerland,0.14
Mauritania (2024),0.1
Oman,0.1
