,Country,Gen (TWh),% gen.,Cap. (GW),% cap. growth,Cap. fac.
0,World,2711.9,8.55,1291.23,14.0,24%
1,China,1135.43,10.73,640.63,22.9,20%
2,United States,464.39,10.27,158.83,4.1,33%
3,Germany,136.03,27.18,77.81,7.0,20%
4,Brazil,117.58,15.67,34.87,5.9,38%
5,India,103.98,5.0,54.51,13.2,22%
6,United Kingdom,85.84,29.37,33.4,3.9,29%
7,Spain,58.76,20.4,33.3,3.5,20%
8,Canada,51.48,7.89,17.74,2.0,33%
9,France,46.46,8.15,25.65,5.8,21%
10,Turkey,39.42,11.14,14.78,14.8,30%
11,Australia,39.29,13.7,16.35,5.1,27%
12,Sweden,38.9,22.84,17.38,3.3,26%
13,Netherlands,33.7,24.97,11.78,0.7,33%
14,Poland,23.98,13.9,10.6,4.4,26%
15,Finland,22.58,27.44,9.38,12.2,27%
16,Italy,21.48,8.11,13.57,4.7,18%
17,Mexico,21.38,5.99,7.51,0.0,32%
18,Denmark,20.28,58.73,7.55,0.5,31%
19,Argentina,18.62,12.16,4.5,4.2,47%
20,Vietnam,14.37,4.64,6.24,1.0,26%
21,Portugal,13.68,26.75,5.61,0.2,28%
22,Norway,13.58,8.44,5.16,0.0,30%
23,Belgium,13.39,20.02,5.85,3.7,26%
24,Japan,12.85,1.25,6.24,6.5,24%
25,Greece,12.08,20.86,5.71,6.3,24%
26,Taiwan,12.0,4.15,4.52,15.6,30%
27,Ireland,11.76,38.0,5.13,3.9,26%
28,Chile,11.58,13.08,5.88,24.6,22%
29,South Africa,11.32,4.66,4.33,25.9,30%
30,Egypt,9.3,3.78,3.03,37.7,35%
31,Austria,8.31,11.34,4.29,4.9,22%
32,Morocco,6.74,15.27,2.45,2.5,31%
33,Romania,5.97,11.99,3.28,5.8,21%
34,Kazakhstan,5.83,4.71,1.91,25.7,35%
35,Uruguay,4.85,40.62,1.52,0.0,36%
36,Pakistan,4.46,2.52,1.85,0.0,28%
37,New Zealand,4.22,9.74,1.26,0.0,38%
38,Uzbekistan,4.0,4.61,1.65,230.0,28%
39,Lithuania,3.98,44.82,2.51,37.2,18%
40,Russia,3.64,0.31,2.88,12.1,14%
41,South Korea,3.64,0.58,2.45,8.4,17%
42,Thailand,3.41,1.81,1.54,0.0,25%
43,Croatia,3.14,21.36,1.38,6.2,26%
44,Kenya,2.3,16.38,0.44,0.0,60%
45,Peru,2.11,3.49,1.34,30.1,18%
46,Kuwait,1.86,2.08,0.01,0.0,
47,Jordan (2024),1.75,7.39,0.63,0.0,32%
48,Saudi Arabia (2024),1.59,0.35,0.4,0.0,45%
49,Costa Rica,1.55,12.1,0.44,10.0,40%
50,Serbia,1.47,4.01,0.8,33.3,21%
51,Philippines,1.46,1.19,0.52,18.2,32%
52,Dominican Republic,1.42,6.26,0.48,11.6,34%
53,Bulgaria,1.32,3.48,0.71,0.0,21%
54,Iran,1.25,0.32,0.38,0.0,38%
55,Estonia,1.15,18.58,0.71,2.9,18%
56,Ethiopia,1.1,3.3,0.5,25.0,25%
57,Panama (2024),0.96,7.15,0.34,0.0,32%
58,Sri Lanka,0.93,5.39,0.27,0.0,39%
59,Honduras (2024),0.75,6.01,0.24,0.0,36%
60,Hungary,0.6,1.49,0.32,0.0,21%
61,Czech Republic,0.57,0.75,0.37,2.8,18%
62,Nicaragua (2024),0.56,12.39,0.19,0.0,34%
63,Mongolia,0.54,5.57,0.16,0.0,39%
64,Indonesia (2024),0.47,0.13,0.15,0.0,36%
65,Luxembourg,0.47,30.52,0.23,9.5,23%
66,Israel,0.46,0.56,0.35,0.0,15%
67,Belarus,0.41,0.89,0.12,0.0,39%
68,Senegal (2024),0.41,5.37,0.16,0.0,29%
69,Kosovo,0.39,6.64,,,
70,Bosnia and Herzegovina,0.37,2.55,0.24,9.1,18%
71,Guatemala (2024),0.37,2.34,0.11,0.0,38%
72,Tunisia,0.33,1.48,0.25,0.0,15%
73,North Macedonia,0.3,4.23,0.1,42.9,34%
74,Jamaica (2024),0.29,5.89,0.1,0.0,33%
75,Bolivia,0.28,2.05,0.14,0.0,23%
76,Montenegro,0.28,11.38,0.12,0.0,27%
77,Latvia,0.23,3.63,0.13,0.0,20%
78,Moldova,0.23,7.93,0.25,56.3,11%
79,Puerto Rico,0.23,1.17,0.13,0.0,20%
80,Cyprus,0.21,3.55,0.17,6.3,14%
81,El Salvador,0.2,3.1,0.05,0.0,46%
82,United Arab Emirates (2024),0.2,0.11,0.11,10.0,21%
83,Ecuador,0.19,0.52,0.07,0.0,31%
84,Colombia,0.15,0.17,0.03,0.0,57%
85,Aruba (2024),0.14,14.0,0.03,0.0,53%
86,Switzerland,0.14,0.22,0.11,10.0,15%
87,Mauritania (2024),0.1,4.83,0.14,0.0,8%
88,Oman,0.1,0.19,0.05,0.0,23%
